year,area,threshold,model
2049,12601905657837.047,n15,mri
2050,27500073038863.344,n15,mri
2051,11276520307267.41,n15,mri
2052,17934590640014.586,n15,mri
2053,33935778659869.36,n15,mri
2054,24990688460841.75,n15,mri
2055,57067913846765.56,n15,mri
2056,37745367460145.8,n15,mri
2057,20819810415055.887,n15,mri
2058,4660290245076.234,n15,mri
2059,13988989159533.91,n15,mri
2060,16126839638124.406,n15,mri
2061,10761044481574.646,n15,mri
2062,17559690384595.758,n15,mri
2063,32176972820238.117,n15,mri
2064,5361633839609.064,n15,mri
2065,29207605772920.695,n15,mri
2066,20515963470814.758,n15,mri
2067,17968102748411.54,n15,mri
2068,36887713727788.81,n15,mri
2069,16494476923530.941,n15,mri
2070,36062165632251.79,n15,mri
2071,12133467258469.148,n15,mri
2072,16074662482157.303,n15,mri
2073,16632936292931.766,n15,mri
2074,17538081625600.406,n15,mri
2075,43685058635236.08,n15,mri
2076,22700759889378.285,n15,mri
2077,3443131228681.7705,n15,mri
2078,5346438395368.449,n15,mri
2079,8834296384542.047,n15,mri
2080,12017956663754.277,n15,mri
2081,16452557354975.566,n15,mri
2082,9526062848126.295,n15,mri
2083,19898545595139.516,n15,mri
2084,19949325719189.527,n15,mri
2085,7717566801252.305,n15,mri
2086,13851500115737.236,n15,mri
2087,14138012202587.492,n15,mri
2088,8756880020313.3,n15,mri
2089,10966584695431.4,n15,mri
2090,13748318855093.652,n15,mri
2091,7677379565650.803,n15,mri
2092,31534125995413.555,n15,mri
2093,4070094333576.1094,n15,mri
2094,18663257202763.04,n15,mri
2095,11203424250817.861,n15,mri
2096,18081271756983.027,n15,mri
2097,50460727384473.76,n15,mri
2098,11320609425002.54,n15,mri
2099,18328328016918.867,n15,mri
2100,79955517247709.52,n15,mri
2031,67509019309460.484,n15,ukesm
2032,104077525189310.95,n15,ukesm
2033,62367393426883.11,n15,ukesm
2034,69551876378287.125,n15,ukesm
2035,28843074239262.844,n15,ukesm
2036,22504860326996.9,n15,ukesm
2037,9858888831621.941,n15,ukesm
2038,68693109737343.734,n15,ukesm
2039,62546607550043.25,n15,ukesm
2040,55862577694844.49,n15,ukesm
2041,77139217740161.75,n15,ukesm
2042,36924496938122.72,n15,ukesm
2043,26014674699180.883,n15,ukesm
2044,73259082025044.6,n15,ukesm
2045,65297990325292.016,n15,ukesm
2046,94316751880887.03,n15,ukesm
2047,102141270625800.1,n15,ukesm
2048,51916761670973.92,n15,ukesm
2049,33957812687944.906,n15,ukesm
2050,19431508210043.633,n15,ukesm
2051,59691335831120.38,n15,ukesm
2052,89382154782712.28,n15,ukesm
2053,67012763244144.984,n15,ukesm
2054,113695546667430.33,n15,ukesm
2055,174293572465790.84,n15,ukesm
2056,164448707294528.7,n15,ukesm
2057,113990036493219.88,n15,ukesm
2058,40843003337735.6,n15,ukesm
2059,85681914648064.62,n15,ukesm
2060,126301319302392.66,n15,ukesm
2061,77284595456085.2,n15,ukesm
2062,92744714636076.03,n15,ukesm
2063,82837336777982.34,n15,ukesm
2064,164187442973223.1,n15,ukesm
2065,174642909936630.62,n15,ukesm
2066,117871332097934.94,n15,ukesm
2067,143179931396035.75,n15,ukesm
2068,143300660834829.22,n15,ukesm
2069,96710153801803.92,n15,ukesm
2070,153548367879646.03,n15,ukesm
2071,134756322780653.61,n15,ukesm
2072,104450626663772.56,n15,ukesm
2073,157603555202875.7,n15,ukesm
2074,139389741542139.89,n15,ukesm
2075,126503706165235.44,n15,ukesm
2076,196982399419274.0,n15,ukesm
2077,139743423287195.05,n15,ukesm
2078,176686361716786.94,n15,ukesm
2079,173939788278663.97,n15,ukesm
2080,199235781220814.94,n15,ukesm
2081,158967385066739.34,n15,ukesm
2082,108992162851804.62,n15,ukesm
2083,143637550678252.56,n15,ukesm
2084,183042001690202.78,n15,ukesm
2085,201161676915032.78,n15,ukesm
2086,140113773807759.69,n15,ukesm
2087,200121115279953.97,n15,ukesm
2088,161116391734844.97,n15,ukesm
2089,151972109190025.28,n15,ukesm
2090,197068486084120.34,n15,ukesm
2091,194349826568910.66,n15,ukesm
2092,188056188015490.94,n15,ukesm
2093,143531745114154.06,n15,ukesm
2094,175783034428962.28,n15,ukesm
