year,area,threshold,model
2074,1413541789061.373,n15,mpi
2075,1222887681515.165,n15,mpi
2076,3630953613000.1587,n15,mpi
2077,1556490064299.0654,n15,mpi
2078,3825505712680.477,n15,mpi
2079,2181622785499.934,n15,mpi
2080,2606678862674.2437,n15,mpi
2081,3124329276278.2583,n15,mpi
2082,2432278961868.8643,n15,mpi
2083,1407541738995.3228,n15,mpi
2084,2031725593842.961,n15,mpi
2085,1689458277275.0981,n15,mpi
2086,2226109115020.6562,n15,mpi
2087,2086969453236.688,n15,mpi
2088,2272471128367.952,n15,mpi
2089,3148999854634.8013,n15,mpi
2090,3771588370264.202,n15,mpi
2091,2748163512816.752,n15,mpi
2092,2820357370028.982,n15,mpi
2093,3070288548355.4434,n15,mpi
2094,1523512250197.4927,n15,mpi
2095,2138975189893.1028,n15,mpi
2096,3569755454621.499,n15,mpi
2097,3596554992539.043,n15,mpi
2098,3204316864778.0176,n15,mpi
2099,2845195958320.784,n15,mpi
2100,3037005815978.553,n15,mpi
2031,124991552268.59985,n21,mri
2032,75881923305.54764,n21,mri
2033,32959271668.4945,n21,mri
2034,55528138438.22891,n21,mri
2035,185841975128.691,n21,mri
2036,163750385253.89365,n21,mri
2037,452539037041.2058,n21,mri
2038,213709630646.5747,n21,mri
2039,106407952294.39127,n21,mri
2040,24624664816.42932,n21,mri
2041,94070663995.41833,n21,mri
2042,83494739782.03757,n21,mri
2043,240659326160.07547,n21,mri
2044,48134013829.71013,n21,mri
2045,134223204027.37709,n21,mri
2046,16441392604.241693,n21,mri
2047,127461599909.45601,n21,mri
2048,219337990507.01428,n21,mri
2049,104810804166.67136,n21,mri
2050,179886688449.6061,n21,mri
2051,73578928334.97481,n21,mri
2052,98312625279.97781,n21,mri
2053,334823127356.4634,n21,mri
2054,190858940905.7703,n21,mri
2055,270518464101.01663,n21,mri
2056,218589242947.25012,n21,mri
2057,150733719850.31226,n21,mri
2058,27743721383.169308,n21,mri
2059,79531695637.2368,n21,mri
2060,86751402301.39638,n21,mri
2061,116478734100.18451,n21,mri
2062,40529842549.64287,n21,mri
2063,318396582452.8754,n21,mri
2064,42100138897.64864,n21,mri
2065,114350689873.79834,n21,mri
2066,89180955010.06088,n21,mri
2067,137917107866.45737,n21,mri
2068,239550884516.20868,n21,mri
2069,73648383464.107,n21,mri
2070,195347557591.56378,n21,mri
2071,173801742187.6256,n21,mri
2072,44891508108.61894,n21,mri
2073,91007137094.27553,n21,mri
2074,101097509553.4259,n21,mri
2075,415853300885.3092,n21,mri
2076,147097823434.54382,n21,mri
2077,15220588520.166649,n21,mri
2078,32985612388.784046,n21,mri
2079,29233037362.394375,n21,mri
2080,54446563943.21611,n21,mri
2081,75728713010.14775,n21,mri
2082,60223347040.063896,n21,mri
2083,129081425075.31055,n21,mri
2084,103521118433.56235,n21,mri
2085,30571807260.772278,n21,mri
2086,111680963374.83609,n21,mri
2087,105164168191.39331,n21,mri
2088,54360474942.476944,n21,mri
2089,40157291116.83908,n21,mri
2090,108073055064.00514,n21,mri
2091,65558978717.698326,n21,mri
2092,57129889138.46526,n21,mri
2093,25823701252.28777,n21,mri
2094,73489621970.80984,n21,mri
2095,76926428844.13976,n21,mri
2096,34732100154.579254,n21,mri
2097,304828158090.4954,n21,mri
2098,39091523923.46916,n21,mri
2099,66942493077.4061,n21,mri
2100,885004936553.0532,n21,mri
2031,1473833626968.215,n15,ukesm
2032,2244620789635.7993,n15,ukesm
2033,1350307308265.5283,n15,ukesm
2034,1773713799012.588,n15,ukesm
2035,719835069085.2756,n15,ukesm
2036,600687248141.1282,n15,ukesm
2037,311391932873.3249,n15,ukesm
2038,1359325627142.6504,n15,ukesm
2039,1648872480340.495,n15,ukesm
2040,1547380041999.9067,n15,ukesm
2041,1797835324095.079,n15,ukesm
2042,868878752018.2952,n15,ukesm
2043,577408596255.484,n15,ukesm
2044,1692228286170.6057,n15,ukesm
2045,1254851289540.6519,n15,ukesm
2046,2113195771053.0986,n15,ukesm
2047,2560413298128.7363,n15,ukesm
2048,1157116343213.8699,n15,ukesm
2049,923541238591.772,n15,ukesm
2050,544718007758.4308,n15,ukesm
2051,1555168886560.1997,n15,ukesm
2052,2280255278766.2295,n15,ukesm
2053,1347285735216.037,n15,ukesm
2054,2632331020058.498,n15,ukesm
2055,3606664440320.284,n15,ukesm
2056,3250326816235.7676,n15,ukesm
2057,2434468862506.62,n15,ukesm
2058,1180117586617.1177,n15,ukesm
2059,2112307768426.6162,n15,ukesm
2060,2933477382263.544,n15,ukesm
2061,2023808338035.9468,n15,ukesm
2062,2156185663303.3008,n15,ukesm
2063,1733182569503.0305,n15,ukesm
2064,3434458628033.457,n15,ukesm
2065,3830783589596.558,n15,ukesm
2066,2774047680199.3794,n15,ukesm
2067,3087534175710.645,n15,ukesm
2068,3031273100822.984,n15,ukesm
2069,2204120100719.9297,n15,ukesm
2070,3546014426167.672,n15,ukesm
2071,2976497787247.3643,n15,ukesm
2072,2519563254577.832,n15,ukesm
2073,3271665883551.4185,n15,ukesm
2074,2822318098733.461,n15,ukesm
2075,2555976859193.2515,n15,ukesm
2076,4266885460936.832,n15,ukesm
2077,3307936176688.032,n15,ukesm
2078,3953881317588.7793,n15,ukesm
2079,3548875653310.886,n15,ukesm
2080,4332267662121.8975,n15,ukesm
2081,3326705400208.3545,n15,ukesm
2082,2497865430587.8906,n15,ukesm
2083,3212591129630.242,n15,ukesm
2084,3946354272370.49,n15,ukesm
2085,4385302169525.7397,n15,ukesm
2086,3187157177246.8994,n15,ukesm
2087,4289253200848.7246,n15,ukesm
2088,3522161812462.2217,n15,ukesm
2089,3475719187095.344,n15,ukesm
2090,4294200553771.6133,n15,ukesm
2091,4241017652841.079,n15,ukesm
2092,3941672178702.192,n15,ukesm
2093,3005036480382.429,n15,ukesm
2094,3804658429800.0684,n15,ukesm
2095,3769293296193.174,n15,ukesm
2096,4456997223737.472,n15,ukesm
2097,4111465913031.1323,n15,ukesm
2098,4305654417639.285,n15,ukesm
2099,3739873614208.318,n15,ukesm
2100,3922166517476.8604,n15,ukesm
